doc_id,cleaned_filer_names,member_name,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,notes
500022819,John Ferland,"Massie, Thomas",FALSE,KY,4,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022822,Stephen Cote,"McHenry, Patrick",FALSE,NC,10,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022823,Matthew Meyer,"Roe, David P.",FALSE,TN,1,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022824,Adam Hewitt,"Davidson, Warren",FALSE,OH,8,R,2020,Original,2020-02-18,2020-02-21,4,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022825,Anne Marie Chotvacs,"Granger, Kay",FALSE,TX,12,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022826,James Alden Decker,"Burgess, Michael",FALSE,TX,26,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022827,Ryan O'Toole,"McCarthy, Kevin",FALSE,CA,20,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022828,Michael Comer,"Scalise, Steve",FALSE,LA,1,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022830,Kerry Knott,"Aderholt, Robert",FALSE,AL,4,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022831,Allen Klump,"Duncan, Jeff",FALSE,SC,3,R,2020,Original,2020-02-18,2020-02-20,3,Motion Picture Association of America,"Los Angeles, CA; Universal City, CA",domestic,NA
500022832,Joseph Knowles,"Fitzpatrick, Brian",FALSE,PA,1,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022834,Valentina J. Valenta,"Posey, Bill",FALSE,FL,8,R,2020,Original,2020-02-19,2020-02-21,3,Florida Ports Council,"Cape Canaveral, FL; Jacksonville, FL",domestic,NA
500022835,Olivia Hnat,"Rodgers, Cathy",FALSE,WA,5,R,2020,Original,2020-02-17,2020-02-21,5,Global Women's Innovation Network,"Berlin, Germany",international,NA
500022836,Jim Joice,"Watkins, Steven C.",FALSE,KS,2,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022838,Anna Alburger Romeo,"Joyce, David",FALSE,OH,14,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022839,Patrick Carter,"Hudson, Richard",FALSE,NC,9,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022840,Matthew Russell,"Conaway, K. Michael",FALSE,TX,11,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022842,Jonah Shumate,"Crawford, Eric",FALSE,AR,1,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022844,Joshua Grogis,"Cole, Tom",FALSE,OK,4,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022845,Dao Nguyen,"Murphy, Stephanie N.",FALSE,FL,7,D,2020,Original,2020-02-20,2020-02-23,4,Information Technology And Innovation Foundation,"San Juan, PR",domestic,NA
500022846,Laurie B. Saroff,"Correa, J. Luis",FALSE,CA,46,D,2020,Original,2020-02-18,2020-02-19,2,Motion Picture Association of America,"Los Angeles, CA; Universal City, CA",domestic,NA
500022848,Jim Jordan,"Jordan, Jim",TRUE,OH,4,R,2020,Original,2020-02-13,2020-02-20,8,12Tribe Films Foundation,"Jerusalem, Israel",international,NA
500022851,Rachel Ver Velde,"Grothman, Glenn",FALSE,WI,6,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022852,Hillary Gross,"Gibbs, Bob",FALSE,OH,7,R,2020,Original,2020-02-19,2020-02-21,3,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
500022853,Megan Bel Miller,"Scalise, Steve",FALSE,LA,1,R,2020,Original,2020-02-19,2020-02-20,2,Congressional Institute,"White Sulphur Springs, WV",domestic,NA
