Permit Category,County Agency,Permit Case ID,Permit Case Year,Permit Type,Case Name,Street Address,City,Zip Code,Permit Issuance Date,Expected Construction Cost,Location
Building Permit,DPIE,3244257,2023,DPIE ER,3244257 Sustainable Energy Systems,8704 62ND,COLLEGE PARK,20740,January 03 2023,0,"8704 62ND COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244249,2023,DPIE ER,3244249 GVO Electric LLC,4227 GUILFORD,COLLEGE PARK,20740,January 03 2023,0,"4227 GUILFORD COLLEGE PARK,MD 20740"
Building Permit,DPIE,3243779,2022,UO,TK Elevator UO,9001 51ST,COLLEGE PARK,20740,January 03 2023,0,"9001 51ST COLLEGE PARK,MD 20740"
Site Road Permit,DPIE,3240094,2022,RESTORATION BOND,JAEGER PROPERTY,6200 WESTCHESTER PARK,COLLEGE PARK,20740,January 04 2023,"20,000","6200 WESTCHESTER PARK COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244416,2023,DPIE Online MECC,3244416,10119 RHODE ISLAND,COLLEGE PARK,20740,January 04 2023,"1,200","10119 RHODE ISLAND COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244311,2023,DPIE ER,3244311 QTEC LLC,4914 MUSKOGEE,COLLEGE PARK,20740,January 04 2023,0,"4914 MUSKOGEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3232357,2022,CI,ROSS COMPANIES INTERIOR WORK,9314 CHERRY HILL,COLLEGE PARK,20740,January 04 2023,"4,000","9314 CHERRY HILL COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244460,2022,DPIE EC,3230947 Four Seasons Contractors Inc,7401 BALTIMORE,COLLEGE PARK,20740,January 05 2023,0,"7401 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3243215,2022,DPIE ER,3243215 Clear Communications INC.,4800 ERIE,COLLEGE PARK,20740,January 05 2023,0,"4800 ERIE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3241734,2022,FIR,TAIM COLLEGE PARK LLC WET CHEM SYSTEM,7401 BALTIMORE,COLLEGE PARK,20740,January 05 2023,"2,650","7401 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244768,2023,DPIE EC,3244768 spruce ridge electric llc,10050 BALTIMORE,COLLEGE PARK,20740,January 06 2023,0,"10050 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244683,2023,DPIE ER,3244683 Thomas Electric Co. Inc.,8406 CUNNINGHAM,COLLEGE PARK,20740,January 06 2023,0,"8406 CUNNINGHAM COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244784,2023,DPIE EC,3244784 national electrical service,3711 CAMPUS,COLLEGE PARK,20740,January 06 2023,0,"3711 CAMPUS COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244674,2023,DPIE ER,3244674 W&M Electrical Services LLC,9012 AUTOVILLE,COLLEGE PARK,20740,January 06 2023,0,"9012 AUTOVILLE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244737,2023,DPIE EC,3244737 BFPE INT'L,9620 BALTIMORE,COLLEGE PARK,20740,January 06 2023,0,"9620 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244720,2023,DPIE EC,3244720 Stones River Electric,4700 CHERRY HILL,COLLEGE PARK,20740,January 06 2023,0,"4700 CHERRY HILL COLLEGE PARK,MD 20740"
Building Permit,DPIE,3244628,2023,DPIE EC,"3244628 A Capital Electric Services, LLC",4420 HARTWICK,COLLEGE PARK,20740,January 06 2023,0,"4420 HARTWICK COLLEGE PARK,MD 20740"
Building Permit,DPIE,3235082,2022,UO,INTELLIGENT MINDS ACADEMY LLC UO,9066 BALTIMORE,COLLEGE PARK,20740,January 07 2023,0,"9066 BALTIMORE COLLEGE PARK,MD 20740"
