Permit Category,County Agency,Permit Case ID,Permit Case Year,Permit Type,Case Name,Street Address,City,Zip Code,Permit Issuance Date,Expected Construction Cost,Location
Building Permit,DPIE,2997696,2015,DPIE RGUW,ERNEST ADDITION,5017 ODESSA,COLLEGE PARK,20740,January 02 2019,"6,000","5017 ODESSA COLLEGE PARK,MD 20740"
Building Permit,DPIE,2991923,2018,RW,RIBULOTTA INTERIOR & ROOF,6012 QUEBEC,COLLEGE PARK,20740,January 02 2019,20,"6012 QUEBEC COLLEGE PARK,MD 20740"
Building Permit,DPIE,2997583,2019,DPIE ER,STATHOPOULOS,8919 58TH,COLLEGE PARK,20740,January 02 2019,0,"8919 58TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,2997634,2018,DPIE ER,2995490 j&m electric,7317 BAYLOR,COLLEGE PARK,20740,January 02 2019,0,"7317 BAYLOR COLLEGE PARK,MD 20740"
Building Permit,DPIE,2997861,2019,DPIE ER,2997861 Mister Electrc,5114 LACKAWANNA,COLLEGE PARK,20740,January 03 2019,0,"5114 LACKAWANNA COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998337,2017,RUW,BAPTISTE INT REMOD,5902 NATASHA,COLLEGE PARK,20740,January 07 2019,"65,000","5902 NATASHA COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998426,2018,DPIE EC,"2979258 Fire Protective Systems, Inc.",8321 BALTIMORE,COLLEGE PARK,20740,January 07 2019,0,"8321 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998670,2019,DPIE ER,2998670 Wilcox Electric,5015 FOX,COLLEGE PARK,20740,January 08 2019,0,"5015 FOX COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998579,2018,DPIE EC,"2968990 ARK Sign Services, Inc.",4200 HARTWICK,COLLEGE PARK,20740,January 08 2019,0,"4200 HARTWICK COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998918,2018,DPIE ER,2987586 Seals Electric,4908 INDIAN,COLLEGE PARK,20740,January 09 2019,0,"4908 INDIAN COLLEGE PARK,MD 20740"
Building Permit,DPIE,2993113,2018,CU,POKI DISTRICT FITOUT,4209 KNOX,COLLEGE PARK,20740,January 09 2019,"5,000","4209 KNOX COLLEGE PARK,MD 20740"
Health Permit,DPIE,2998785,2017,PUBLIC SWIMMING POOL/SPA -> INDOOR POOL/SPA,THE HOTEL AT UNIVERSITY OF MARYLAND,7777 BALTIMORE,COLLEGE PARK,20742,January 09 2019,0,"7777 BALTIMORE COLLEGE PARK,MD 20742"
Building Permit,DPIE,2999114,2019,DPIE ER,"2999114 Beltway Electrical Service, Inc.",9216 DAVIDSON,COLLEGE PARK,20740,January 10 2019,0,"9216 DAVIDSON COLLEGE PARK,MD 20740"
Building Permit,DPIE,2996849,2018,S,LIDL WALL SIGN,8601 BALTIMORE,COLLEGE PARK,20740,January 10 2019,"2,000","8601 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2996850,2018,S,LIDL WALL SIGN,8601 BALTIMORE,COLLEGE PARK,20740,January 10 2019,"2,000","8601 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999227,2019,DPIE EC,2999227 han chung electric,8145 BALTIMORE,COLLEGE PARK,20740,January 10 2019,0,"8145 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999388,2019,DPIE EC,2999388 Sustainable Energy Systems,8802 58TH,COLLEGE PARK,20740,January 11 2019,0,"8802 58TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,2995590,2018,R,ESPINOZA SOLAR PANELS,8802 58TH,COLLEGE PARK,20740,January 11 2019,"33,600","8802 58TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999275,2019,DPIE EC,2999275 Campbell & Son Electric,8601 BALTIMORE,COLLEGE PARK,20740,January 11 2019,0,"8601 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999328,2019,DPIE EC,"2999328 ATS Electrical Contracting, Inc.",4209 KNOX,COLLEGE PARK,20740,January 11 2019,0,"4209 KNOX COLLEGE PARK,MD 20740"
Health Permit,DPIE,2999390,2019,PUBLIC SWIMMING POOL/SPA -> INDOOR POOL/SPA,HOLIDAY INN-COLLEGE PARK,10000 BALTIMORE,COLLEGE PARK,20740,January 11 2019,0,"10000 BALTIMORE COLLEGE PARK,MD 20740"
Health Permit,DPIE,2999391,2019,PUBLIC SWIMMING POOL/SPA -> INDOOR POOL/SPA,HOLIDAY INN-COLLEGE PARK,10000 BALTIMORE,COLLEGE PARK,20740,January 11 2019,0,"10000 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999417,2019,DPIE Online MECC,2999417,6118 RUATAN,COLLEGE PARK,20740,January 12 2019,"4,200","6118 RUATAN COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998104,2019,DPIE EC,2998104 AA Electric Company Incorporated,10211 BALTIMORE,COLLEGE PARK,20740,January 14 2019,0,"10211 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2991178,2018,FIRW,TERRAPIN MAIN STREET FIRE SUPPRESSION,7313 BALTIMORE,COLLEGE PARK,20740,January 15 2019,"3,000","7313 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2992395,2018,CEW,Tele-T-mobile,8400 BALLEW,COLLEGE PARK,20740,January 15 2019,0,"8400 BALLEW COLLEGE PARK,MD 20740"
Health Permit,DPIE,2998308,2019,WELL -> MONITORING,ROADSIDE DEVELOPMENT LLC,10050 BALTIMORE,COLLEGE PARK,20740,January 16 2019,0,"10050 BALTIMORE COLLEGE PARK,MD 20740"
Health Permit,DPIE,2998303,2019,WELL -> MONITORING,ROADSIDE DEVELOPMENT LLC,10050 BALTIMORE,COLLEGE PARK,20740,January 16 2019,0,"10050 BALTIMORE COLLEGE PARK,MD 20740"
Site Road Permit,DPIE,2999871,2019,RESIDENTIAL DRIVEWAY PERMIT,COLLEGE PARK ESTATES,5917 BRYN MAWR,COLLEGE PARK,20740,January 16 2019,0,"5917 BRYN MAWR COLLEGE PARK,MD 20740"
Building Permit,DPIE,2997247,2018,DPIE UOW,A and A USE,9401 BALTIMORE,COLLEGE PARK,20740,January 17 2019,0,"9401 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000145,2018,CEW,Tele - AT&T Mobility,3515 CAMPUS,COLLEGE PARK,20740,January 17 2019,"20,000","3515 CAMPUS COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998576,2019,FIRW,LIDL FIRE,8601 BALTIMORE,COLLEGE PARK,20740,January 17 2019,"2,000","8601 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000438,2019,DPIE EC,3000438 Anton Touss Enterpises,7313 BALTIMORE,COLLEGE PARK,20740,January 18 2019,0,"7313 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2997350,2018,RZ,UMCPF PROPERTY V LLC RAZE,7200 BALTIMORE,COLLEGE PARK,20740,January 18 2019,"500,000","7200 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2997357,2018,RZ,UMCPF PROPERTY V LLC RAZE,7150 BALTIMORE,COLLEGE PARK,20740,January 18 2019,"40,000","7150 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000398,2019,DPIE Online MECC,3000398,10211 BALTIMORE,COLLEGE PARK,20740,January 18 2019,"37,865","10211 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000194,2019,RW,OUELLETTE ROOFING,5015 NANTUCKET,COLLEGE PARK,20740,January 18 2019,"6,280","5015 NANTUCKET COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000401,2019,DPIE Online MECC,3000401,6012 QUEBEC,COLLEGE PARK,20740,January 18 2019,"5,000","6012 QUEBEC COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000519,2019,DPIE ER,3000519 j&m electric,7404 RHODE ISLAND,COLLEGE PARK,20740,January 19 2019,0,"7404 RHODE ISLAND COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000520,2019,DPIE ER,3000520 j&m electric,7400 RHODE ISLAND,COLLEGE PARK,20740,January 19 2019,0,"7400 RHODE ISLAND COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000645,2015,DPIE RGUW,CONTRERAS,9701 47TH,COLLEGE PARK,20740,January 22 2019,0,"9701 47TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000586,2019,DPIE UTBW,SHELL GAS STATION 5324-2018,10211 BALTIMORE,COLLEGE PARK,20740,January 22 2019,"10,000","10211 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000765,2019,DPIE ER,3000765 national electrical service LLC,6012 QUEBEC,COLLEGE PARK,20740,January 22 2019,0,"6012 QUEBEC COLLEGE PARK,MD 20740"
Building Permit,DPIE,2990889,2018,DPIE SW,PROTEUS SIGN,9827 RHODE ISLAND,COLLEGE PARK,20740,January 22 2019,"8,500","9827 RHODE ISLAND COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999634,2019,FIRW,NOEL'S FIRE PROTECTION,4701 CHEROKEE,COLLEGE PARK,20740,January 22 2019,"2,500","4701 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999638,2019,FIRW,NOEL'S FIRE PROTECTION,4709 CHEROKEE,COLLEGE PARK,20740,January 22 2019,"2,500","4709 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999636,2019,FIRW,NOEL'S FIRE PROTECTION,4705 CHEROKEE,COLLEGE PARK,20740,January 22 2019,"2,500","4705 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999637,2019,FIRW,NOEL'S FIRE PROTECTION,4707 CHEROKEE,COLLEGE PARK,20740,January 22 2019,"2,500","4707 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999635,2019,FIRW,NOEL'S FIRE PROTECTION,4703 CHEROKEE,COLLEGE PARK,20740,January 22 2019,"2,500","4703 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2965523,2018,TGU,COLLEGE PARK - CALATLANTIC - ARCADIA MODEL - #TH-30,4719 CHEROKEE,COLLEGE PARK,20740,January 23 2019,"150,000","4719 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999445,2019,DPIE Online MECC,2999445,7400 RHODE ISLAND,COLLEGE PARK,20740,January 23 2019,"11,500","7400 RHODE ISLAND COLLEGE PARK,MD 20740"
Building Permit,DPIE,2965520,2018,TGU,COLLEGE PARK - CALATLANTIC - ARCADIA MODEL - #TH-30,4713 CHEROKEE,COLLEGE PARK,20740,January 23 2019,"150,000","4713 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000697,2019,DPIE Online MECC,3000697,7401 RADCLIFFE,COLLEGE PARK,20740,January 23 2019,"1,200","7401 RADCLIFFE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2965519,2018,TGU,COLLEGE PARK - CALATLANTIC - ARCADIA MODEL - #TH-30,4711 CHEROKEE,COLLEGE PARK,20740,January 23 2019,"150,000","4711 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000974,2019,DPIE EC,3000974 Daughtry Construction,10013 RHODE ISLAND,COLLEGE PARK,20740,January 23 2019,0,"10013 RHODE ISLAND COLLEGE PARK,MD 20740"
Building Permit,DPIE,2965522,2018,TGU,COLLEGE PARK - CALATLANTIC - ARCADIA MODEL - #TH-30,4717 CHEROKEE,COLLEGE PARK,20740,January 23 2019,"150,000","4717 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000977,2019,DPIE Online MECC,3000977,7404 RHODE ISLAND,COLLEGE PARK,20740,January 23 2019,"11,500","7404 RHODE ISLAND COLLEGE PARK,MD 20740"
Building Permit,DPIE,2965521,2018,TGU,COLLEGE PARK - CALATLANTIC - ARCADIA MODEL - #TH-30,4715 CHEROKEE,COLLEGE PARK,20740,January 23 2019,"150,000","4715 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3001033,2019,DPIE EC,3001033 AA Electric Company Incorporated,10211 BALTIMORE,COLLEGE PARK,20740,January 24 2019,0,"10211 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3001103,2019,CEW,Tele - T-mobile,4920 NIAGARA,COLLEGE PARK,20740,January 24 2019,"25,000","4920 NIAGARA COLLEGE PARK,MD 20740"
Building Permit,DPIE,2935105,2018,DPIE ER,2935105 Landmark Electric,4700 BERWYN HOUSE,COLLEGE PARK,20740,January 25 2019,0,"4700 BERWYN HOUSE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3001431,2019,DPIE Online MECC,3001431,8700 BALTIMORE,COLLEGE PARK,20740,January 25 2019,"60,000","8700 BALTIMORE COLLEGE PARK,MD 20740"
Health Permit,DPIE,2997271,2018,FOOD SERVICE FACILITY -> MODERATE HACCP PRIORITY,PLAYA BOWLS,7417 BALTIMORE,COLLEGE PARK,20740,January 25 2019,0,"7417 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3001442,2019,DPIE EC,3001442 Kaywell Construction Corporation,8700 BALTIMORE,COLLEGE PARK,20740,January 25 2019,0,"8700 BALTIMORE COLLEGE PARK,MD 20740"
Site Road Permit,DPIE,2952673,2018,SITE DEVELOPMENT FINE GRADING PERMIT,PEER REVIEW ACREDALE,BOTELER,COLLEGE PARK,20740,January 28 2019,0,"BOTELER COLLEGE PARK,MD 20740"
Site Road Permit,DPIE,2952673,2018,SITE DEVELOPMENT FINE GRADING PERMIT,PEER REVIEW ACREDALE,HARTSHORN,COLLEGE PARK,20740,January 28 2019,0,"HARTSHORN COLLEGE PARK,MD 20740"
Site Road Permit,DPIE,2952673,2018,SITE DEVELOPMENT FINE GRADING PERMIT,PEER REVIEW ACREDALE,HARTSHORN,COLLEGE PARK,20740,January 28 2019,0,"HARTSHORN COLLEGE PARK,MD 20740"
Site Road Permit,DPIE,2952673,2018,SITE DEVELOPMENT FINE GRADING PERMIT,PEER REVIEW ACREDALE,BOTELER,COLLEGE PARK,20740,January 28 2019,0,"BOTELER COLLEGE PARK,MD 20740"
Site Road Permit,DPIE,2952673,2018,SITE DEVELOPMENT FINE GRADING PERMIT,PEER REVIEW ACREDALE,0000 DE PAUW,COLLEGE PARK,20740,January 28 2019,0,"0000 DE PAUW COLLEGE PARK,MD 20740"
Site Road Permit,DPIE,2952673,2018,SITE DEVELOPMENT FINE GRADING PERMIT,PEER REVIEW ACREDALE,3651 DE PAUW,COLLEGE PARK,20740,January 28 2019,0,"3651 DE PAUW COLLEGE PARK,MD 20740"
Building Permit,DPIE,3001514,2019,RW,MCFARLANE INTERIOR,4834 INDIAN,COLLEGE PARK,20740,January 28 2019,"10,000","4834 INDIAN COLLEGE PARK,MD 20740"
Site Road Permit,DPIE,2992938,2018,RESIDENTIAL DRIVEWAY PERMIT,HOLLYWOOD,4902 LAGUNA,COLLEGE PARK,20740,January 29 2019,"8,000","4902 LAGUNA COLLEGE PARK,MD 20740"
Building Permit,DPIE,3001768,2019,DPIE Online MECC,3001768,9308 CHERRY HILL,COLLEGE PARK,20740,January 29 2019,"4,800","9308 CHERRY HILL COLLEGE PARK,MD 20740"
Building Permit,DPIE,3001789,2019,DPIE ER,3001789 Capitol Cable Communications Inc.,4700 BERWYN HOUSE,COLLEGE PARK,20740,January 29 2019,0,"4700 BERWYN HOUSE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999920,2019,DPIE UOW,OK DOLLAR U & O,9927 RHODE ISLAND,COLLEGE PARK,20740,January 29 2019,0,"9927 RHODE ISLAND COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000442,2019,R,BEAMER INTERIO ALT & EGRESS WINDOW,4819 OSAGE,COLLEGE PARK,20740,January 29 2019,"9,500","4819 OSAGE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000722,2019,FIRW,LIDL US OPERATIONS ALARM,8601 BALTIMORE,COLLEGE PARK,20740,January 30 2019,"26,000","8601 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3002322,2019,DPIE EC,3002322 NJ ELECTRIC SERVICE LLC,7207 BALTIMORE,COLLEGE PARK,20740,January 31 2019,0,"7207 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3002065,2019,DPIE RGW,FORNEY PORCH,6201 PONTIAC,COLLEGE PARK,20740,January 31 2019,"16,918","6201 PONTIAC COLLEGE PARK,MD 20740"
Building Permit,DPIE,3002312,2019,DPIE Online MECC,3002312,8601 BALTIMORE,COLLEGE PARK,20740,January 31 2019,"112,775","8601 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3002249,2019,DPIE Online MECC,3002249,9600 MILESTONE,COLLEGE PARK,20740,January 31 2019,"6,000","9600 MILESTONE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3002319,2019,DPIE ER,3002319 Seals Electric,4700 BERWYN HOUSE,COLLEGE PARK,20740,January 31 2019,0,"4700 BERWYN HOUSE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3002482,2019,DPIE ER,3002482 Lee's Electric,4819 OSAGE,COLLEGE PARK,20740,February 01 2019,0,"4819 OSAGE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3002622,2019,DPIE EC,"3002622 James L. Muscatello, Inc.",4700 BERWYN HOUSE,COLLEGE PARK,20740,February 04 2019,0,"4700 BERWYN HOUSE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3002687,2019,DPIE EC,3002687 LK Deal Electrical Contractors,9801 RHODE ISLAND,COLLEGE PARK,20740,February 04 2019,0,"9801 RHODE ISLAND COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003015,2019,DPIE EC,3003015 NJ ELECTRIC SERVICE LLC,7207 BALTIMORE,COLLEGE PARK,20740,February 05 2019,0,"7207 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999413,2019,FIRW,STAR VIEW PLAZA LLC FIRE,8700 BALTIMORE,COLLEGE PARK,20740,February 05 2019,"6,000","8700 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3002897,2019,DPIE Online MECC,3002897,8605 60TH,COLLEGE PARK,20740,February 05 2019,"4,438","8605 60TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,2991912,2018,R,DEVANY DECK,4717 PONTIAC,COLLEGE PARK,20740,February 06 2019,"9,000","4717 PONTIAC COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003102,2019,DPIE Online MECC,3003102,4703 CHEROKEE,COLLEGE PARK,20740,February 06 2019,"14,930","4703 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003124,2019,DPIE Online MECC,3003124,4707 CHEROKEE,COLLEGE PARK,20740,February 06 2019,"14,930","4707 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003107,2019,DPIE Online MECC,3003107,4705 CHEROKEE,COLLEGE PARK,20740,February 06 2019,"14,930","4705 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003133,2019,DPIE ER,3003133 Gaines Electric Company,4702 HARVARD,COLLEGE PARK,20740,February 06 2019,0,"4702 HARVARD COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003125,2019,DPIE Online MECC,3003125,4709 CHEROKEE,COLLEGE PARK,20740,February 06 2019,"14,930","4709 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003066,2019,DPIE Online MECC,3003066,4701 CHEROKEE,COLLEGE PARK,20740,February 06 2019,"14,930","4701 CHEROKEE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2997084,2018,DPIE SW,STAR VIEW SIGN,8700 BALTIMORE,COLLEGE PARK,20740,February 06 2019,"13,800","8700 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000771,2019,CEW,SSC MARYLAND GENERATOR,8204 BALTIMORE,COLLEGE PARK,20740,February 07 2019,"15,000","8204 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003481,2019,DPIE ER,3003481 Kaywell Construction Corporation,8700 BALTIMORE,COLLEGE PARK,20740,February 07 2019,0,"8700 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2988154,2018,RU,BERGSTROM ADDITION,9405 52ND,COLLEGE PARK,20740,February 08 2019,"120,000","9405 52ND COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003736,2019,DPIE ER,3003736 MCR electric Co,3433 DUKE,COLLEGE PARK,20740,February 11 2019,0,"3433 DUKE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3001891,2018,CIW,American Phucical Society Existing tenant Alteration,1 PHYSICS ELLIPSE,COLLEGE PARK,20740,February 11 2019,0,"1 PHYSICS ELLIPSE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003221,2019,CIW,CPSC INTERIOR,7338 BALTIMORE,COLLEGE PARK,20740,February 11 2019,"20,000","7338 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3001887,2018,CIW,American Physique Alteration,1 PHYSICS ELLIPSE,COLLEGE PARK,20740,February 11 2019,0,"1 PHYSICS ELLIPSE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003779,2019,DPIE EC,"3003779 Kolb Electric, Inc",5123 BERWYN,COLLEGE PARK,20740,February 11 2019,0,"5123 BERWYN COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000634,2019,DPIE UOW,HRJ Auto Repair LLC UO,7411 50TH,COLLEGE PARK,20740,February 12 2019,0,"7411 50TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,3004083,2019,DPIE ER,3004083 JNM Electrical Systems LLC,6207 SEMINOLE,COLLEGE PARK,20740,February 12 2019,0,"6207 SEMINOLE COLLEGE PARK,MD 20740"
Health Permit,DPIE,3002280,2019,WELL -> NONPOTABLE -> GEOTHERMAL,"YAKOVENKO, VICTOR",4804 GUILFORD,COLLEGE PARK,20740,February 12 2019,0,"4804 GUILFORD COLLEGE PARK,MD 20740"
Building Permit,DPIE,3004166,2018,CI,CAVA MEZZE FIT OUT,7350 BALTIMORE,COLLEGE PARK,20740,February 12 2019,0,"7350 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3004342,2019,DPIE EC,"3004342 Bopat Electric Company, Inc",8700 BALTIMORE,COLLEGE PARK,20740,February 13 2019,0,"8700 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2995583,2018,CU,LATAO HOT POT FITOUT *PEER REVIEW*,8700 BALTIMORE,COLLEGE PARK,20740,February 13 2019,0,"8700 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003219,2019,FIRW,,9811 49TH,COLLEGE PARK,20740,February 13 2019,"4,600","9811 49TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,3004437,2019,DPIE EC,3004437 Varcomac Electric,9811 49TH,COLLEGE PARK,20740,February 13 2019,0,"9811 49TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,3003224,2019,UO,Diana's Driver Improvement,9670 BALTIMORE,COLLEGE PARK,20740,February 14 2019,0,"9670 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3004538,2019,DPIE ER,3004538 NJ ELECTRIC SERVICE LLC,3426 DUKE,COLLEGE PARK,20740,February 14 2019,0,"3426 DUKE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3004733,2019,RW,SOLORZANO ENCLOSED PORCHE,4700 KIERNAN,COLLEGE PARK,20740,February 15 2019,"5,000","4700 KIERNAN COLLEGE PARK,MD 20740"
Building Permit,DPIE,3004684,2019,DPIE Online MECC,3004684,4612 FORDHAM,COLLEGE PARK,20740,February 15 2019,"8,804","4612 FORDHAM COLLEGE PARK,MD 20740"
Building Permit,DPIE,3004864,2019,DPIE ER,3004864 BRIGHT ELECTRIC LLC,5030 IROQUOIS,COLLEGE PARK,20740,February 17 2019,0,"5030 IROQUOIS COLLEGE PARK,MD 20740"
Building Permit,DPIE,3002131,2019,RW,WILLIAM INT. WORK/FIRE DAMAGED,6203 PONTIAC,COLLEGE PARK,20740,February 19 2019,"98,000","6203 PONTIAC COLLEGE PARK,MD 20740"
Building Permit,DPIE,3005205,2019,DPIE ER,3005205 RC Energy Solutions LLC,8708 35TH,COLLEGE PARK,20740,February 19 2019,0,"8708 35TH COLLEGE PARK,MD 20740"
Health Permit,DPIE,3005068,2015,FOOD SERVICE FACILITY -> HIGH HACCP PRIORITY,KRAZI KEBOB,4427 LEHIGH,COLLEGE PARK,20740,February 19 2019,0,"4427 LEHIGH COLLEGE PARK,MD 20740"
Building Permit,DPIE,3010844,2019,DPIE EC,"3004342 Bopat Electric Company, Inc",8700 BALTIMORE,COLLEGE PARK,20740,February 21 2019,0,"8700 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3004617,2019,RW,STEWART ROOFING,3408 METZEROTT,COLLEGE PARK,20740,February 21 2019,"15,000","3408 METZEROTT COLLEGE PARK,MD 20740"
Building Permit,DPIE,3005332,2019,RW,DUNLAP,9200 49TH,COLLEGE PARK,20740,February 21 2019,"11,000","9200 49TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,3005486,2019,DPIE ER,3005486 D&M Plumbing Heating AC Corp,6201 PONTIAC,COLLEGE PARK,20740,February 21 2019,0,"6201 PONTIAC COLLEGE PARK,MD 20740"
Building Permit,DPIE,3005391,2019,DPIE Online MECC,3005391,4819 OSAGE,COLLEGE PARK,20740,February 21 2019,"2,400","4819 OSAGE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2995949,2018,DPIE RGUW,BRISCOE ADDITION,8113 51ST,COLLEGE PARK,20740,February 22 2019,"55,000","8113 51ST COLLEGE PARK,MD 20740"
Building Permit,DPIE,3005506,2019,RW,NARVAEZ ROOFING,9727 52ND,COLLEGE PARK,20740,February 22 2019,"16,887","9727 52ND COLLEGE PARK,MD 20740"
Building Permit,DPIE,3005578,2019,DPIE Online MECC,3005578,8414 48TH,COLLEGE PARK,20740,February 22 2019,"8,113","8414 48TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,3002948,2019,CEW,COLLEGE PARK CENTER - STAIR RENO,7415 BALTIMORE,COLLEGE PARK,20740,February 22 2019,"30,000","7415 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999913,2019,DPIE SW,SPOT MINI SIGN,4209 KNOX,COLLEGE PARK,20740,February 25 2019,"2,000","4209 KNOX COLLEGE PARK,MD 20740"
Building Permit,DPIE,2855751,2016,DPIE Online MECC,2855751,9709 WICHITA,COLLEGE PARK,20740,February 25 2019,"8,930","9709 WICHITA COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999892,2019,DPIE SW,SPOT MINI SIGN,4209 KNOX,COLLEGE PARK,20740,February 25 2019,"2,000","4209 KNOX COLLEGE PARK,MD 20740"
Building Permit,DPIE,2991981,2018,DPIE SW,T-SWIRL CREPE SIGN,7313 BALTIMORE,COLLEGE PARK,20740,February 25 2019,900,"7313 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2993278,2018,DPIE UOW,Caribbean Cove,9348 CHERRY HILL,COLLEGE PARK,20740,February 25 2019,0,"9348 CHERRY HILL COLLEGE PARK,MD 20740"
Building Permit,DPIE,2993869,2018,DPIE SW,College Park Roadside II SIGN,10240 BALTIMORE,COLLEGE PARK,20740,February 26 2019,"4,000","10240 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3006348,2019,DPIE ER,3006348 Walter Electric LLC,5105 IROQUOIS,COLLEGE PARK,20740,February 26 2019,0,"5105 IROQUOIS COLLEGE PARK,MD 20740"
